iteration,number,color,parity,datetime
n/a,26,BLACK,EVEN,2023-12-31 01:23:01.421389
n/a,29,BLACK,EVEN,2023-12-31 01:23:27.876094
n/a,25,RED,EVEN,2023-12-31 01:23:28.409117
n/a,7,RED,EVEN,2023-12-31 01:23:28.736640
n/a,20,BLACK,EVEN,2023-12-31 01:23:29.065748
n/a,35,BLACK,EVEN,2023-12-31 01:23:29.418962
n/a,16,RED,EVEN,2023-12-31 01:23:29.744909
n/a,32,RED,EVEN,2023-12-31 01:23:34.575183
n/a,33,BLACK,EVEN,2023-12-31 01:23:34.900498
n/a,15,BLACK,EVEN,2023-12-31 01:23:35.279022
n/a,0,GREEN,n/a,2023-12-31 01:23:35.607190
n/a,14,RED,EVEN,2023-12-31 01:23:35.959103
n/a,25,RED,EVEN,2023-12-31 01:23:36.312399
n/a,13,BLACK,EVEN,2023-12-31 01:23:37.387892
n/a,25,RED,EVEN,2023-12-31 01:23:37.765746
n/a,2,BLACK,EVEN,2023-12-31 01:23:38.119761
n/a,0,GREEN,n/a,2023-12-31 01:23:38.472460n/a,25,RED,ODD,2023-12-31 02:20:05.684657
n/a,33,BLACK,ODD,2023-12-31 02:20:05.938689
n/a,3,RED,ODD,2023-12-31 02:20:06.161500
n/a,11,BLACK,ODD,2023-12-31 02:20:06.360525
n/a,9,RED,ODD,2023-12-31 02:20:06.583066
n/a,26,BLACK,EVEN,2023-12-31 02:20:06.781408
n/a,2,BLACK,EVEN,2023-12-31 02:20:07.004194
n/a,18,RED,EVEN,2023-12-31 02:20:07.228488
n/a,5,RED,ODD,2023-12-31 02:20:07.425920
n/a,3,RED,ODD,2023-12-31 02:20:07.623449
n/a,29,BLACK,ODD,2023-12-31 02:20:07.821955
n/a,21,RED,ODD,2023-12-31 02:20:08.019415
n/a,21,RED,ODD,2023-12-31 02:20:08.217591
n/a,2,BLACK,EVEN,2023-12-31 02:20:08.414016
n/a,31,BLACK,ODD,2023-12-31 02:20:08.612268
n/a,31,BLACK,ODD,2023-12-31 02:20:08.810423
n/a,31,BLACK,ODD,2023-12-31 02:20:08.982725
n/a,13,BLACK,ODD,2023-12-31 02:20:09.154459
n/a,4,BLACK,EVEN,2023-12-31 02:20:09.350376
n/a,35,BLACK,ODD,2023-12-31 02:20:09.523449
n/a,32,RED,EVEN,2023-12-31 02:20:09.721756
n/a,12,RED,EVEN,2023-12-31 02:20:09.920441
n/a,14,RED,EVEN,2023-12-31 02:20:10.116413
n/a,11,BLACK,ODD,2023-12-31 02:20:10.315393
n/a,25,RED,ODD,2023-12-31 02:20:10.512321
n/a,8,BLACK,EVEN,2023-12-31 02:20:10.709386
n/a,22,BLACK,EVEN,2023-12-31 02:20:10.882612
n/a,25,RED,ODD,2023-12-31 02:20:11.079443
n/a,7,RED,ODD,2023-12-31 02:20:11.272586
n/a,2,BLACK,EVEN,2023-12-31 02:20:11.475982
n/a,11,BLACK,ODD,2023-12-31 02:20:11.724103
n/a,10,BLACK,EVEN,2023-12-31 02:20:11.922532
n/a,1,RED,ODD,2023-12-31 02:20:12.094358
n/a,10,BLACK,EVEN,2023-12-31 02:20:12.266686
n/a,1,RED,ODD,2023-12-31 02:20:12.438494
n/a,4,BLACK,EVEN,2023-12-31 02:20:12.610725
n/a,9,RED,ODD,2023-12-31 02:20:12.783334
n/a,4,BLACK,EVEN,2023-12-31 02:20:12.954602
n/a,23,RED,ODD,2023-12-31 02:20:13.126215
n/a,31,BLACK,ODD,2023-12-31 02:20:13.295017
n/a,1,RED,ODD,2023-12-31 02:20:13.496444
n/a,12,RED,EVEN,2023-12-31 02:20:13.668469
n/a,17,BLACK,ODD,2023-12-31 02:20:13.834986
n/a,19,RED,ODD,2023-12-31 02:20:14.037067
n/a,21,RED,ODD,2023-12-31 02:20:14.204900
n/a,21,RED,ODD,2023-12-31 02:20:14.402959
n/a,14,RED,EVEN,2023-12-31 02:20:14.574327
n/a,4,BLACK,EVEN,2023-12-31 02:20:14.776408
n/a,32,RED,EVEN,2023-12-31 02:20:14.948459
n/a,26,BLACK,EVEN,2023-12-31 02:20:15.116459
n/a,15,BLACK,ODD,2023-12-31 02:20:15.313460
n/a,4,BLACK,EVEN,2023-12-31 02:20:15.510728
n/a,29,BLACK,ODD,2023-12-31 02:20:15.709408
n/a,13,BLACK,ODD,2023-12-31 02:20:21.678680
n/a,23,RED,ODD,2023-12-31 02:23:02.808891
n/a,0,GREEN,EVEN,2023-12-31 02:23:03.032488
n/a,23,RED,ODD,2023-12-31 02:23:03.282425
n/a,11,BLACK,ODD,2023-12-31 02:23:03.505614
n/a,22,BLACK,EVEN,2023-12-31 02:23:03.729460
n/a,14,RED,EVEN,2023-12-31 02:23:03.951783
n/a,20,BLACK,EVEN,2023-12-31 02:23:04.176272
n/a,16,RED,EVEN,2023-12-31 02:23:04.400465
n/a,6,BLACK,EVEN,2023-12-31 02:23:04.624022
n/a,14,RED,EVEN,2023-12-31 02:23:04.846993
n/a,23,RED,ODD,2023-12-31 02:23:05.070585
n/a,19,RED,ODD,2023-12-31 02:23:05.295161
n/a,1,RED,ODD,2023-12-31 02:23:05.517257
n/a,16,RED,EVEN,2023-12-31 02:23:05.738075
n/a,30,RED,EVEN,2023-12-31 02:23:05.960604
n/a,1,RED,ODD,2023-12-31 02:23:06.188086
n/a,2,BLACK,EVEN,2023-12-31 02:23:06.410522
n/a,27,RED,ODD,2023-12-31 02:23:06.660477
n/a,8,BLACK,EVEN,2023-12-31 02:23:06.880589
n/a,7,RED,ODD,2023-12-31 02:23:07.109402
n/a,5,RED,ODD,2023-12-31 02:23:07.357425
n/a,23,RED,ODD,2023-12-31 02:23:07.555974
n/a,7,RED,ODD,2023-12-31 02:23:07.778957
n/a,21,RED,ODD,2023-12-31 02:23:08.002420
n/a,24,BLACK,EVEN,2023-12-31 02:23:18.486027
n/a,31,BLACK,ODD,2023-12-31 02:23:19.329411
n/a,8,BLACK,EVEN,2023-12-31 02:23:19.863948
n/a,1,RED,ODD,2023-12-31 02:23:20.445524
n/a,35,BLACK,ODD,2023-12-31 02:23:21.004731
n/a,29,BLACK,ODD,2023-12-31 02:28:10.022455
n/a,14,RED,EVEN,2023-12-31 13:21:09.482007
n/a,33,BLACK,ODD,2023-12-31 13:21:09.709009
n/a,0,GREEN,EVEN,2023-12-31 13:21:09.855968
n/a,2,BLACK,EVEN,2023-12-31 13:21:10.000710
n/a,20,BLACK,EVEN,2023-12-31 13:21:10.158471
n/a,12,RED,EVEN,2023-12-31 13:21:10.288050
n/a,22,BLACK,EVEN,2023-12-31 13:21:10.434353
n/a,10,BLACK,EVEN,2023-12-31 13:21:10.607866
n/a,7,RED,ODD,2023-12-31 13:21:10.752950
n/a,26,BLACK,EVEN,2023-12-31 13:21:10.898757
n/a,2,BLACK,EVEN,2023-12-31 13:21:11.044765
n/a,8,BLACK,EVEN,2023-12-31 13:21:11.246091
n/a,13,BLACK,ODD,2023-12-31 13:21:11.388032
n/a,35,BLACK,ODD,2023-12-31 13:21:11.559385
n/a,34,RED,EVEN,2023-12-31 13:21:11.679889
n/a,9,RED,ODD,2023-12-31 13:21:11.942019
n/a,5,RED,ODD,2023-12-31 13:21:12.088761
n/a,16,RED,EVEN,2023-12-31 13:21:12.204582
n/a,28,BLACK,EVEN,2023-12-31 13:21:12.324719
n/a,3,RED,ODD,2023-12-31 13:21:12.586356
n/a,27,RED,ODD,2023-12-31 13:21:12.732618
n/a,25,RED,ODD,2023-12-31 13:21:12.848889
n/a,6,BLACK,EVEN,2023-12-31 13:21:12.994556
n/a,12,RED,EVEN,2023-12-31 13:21:13.256447
n/a,25,RED,ODD,2023-12-31 13:21:13.397950
n/a,23,RED,ODD,2023-12-31 13:21:13.517107
n/a,0,GREEN,EVEN,2023-12-31 13:21:13.663719
n/a,19,RED,ODD,2023-12-31 13:21:13.900913
n/a,0,GREEN,EVEN,2023-12-31 13:21:14.046995
n/a,8,BLACK,EVEN,2023-12-31 13:21:14.193003
n/a,4,BLACK,EVEN,2023-12-31 13:21:14.308749
n/a,18,RED,EVEN,2023-12-31 13:21:14.569561
n/a,4,BLACK,EVEN,2023-12-31 13:21:14.715721
n/a,9,RED,ODD,2023-12-31 13:21:14.857761
n/a,7,RED,ODD,2023-12-31 13:21:14.977260
n/a,24,BLACK,EVEN,2023-12-31 13:21:15.239940
n/a,10,BLACK,EVEN,2023-12-31 13:21:15.385611
n/a,25,RED,ODD,2023-12-31 13:21:15.503158
n/a,20,BLACK,EVEN,2023-12-31 13:21:15.647766
n/a,32,RED,EVEN,2023-12-31 13:21:15.909569
n/a,35,BLACK,ODD,2023-12-31 13:21:16.025174
n/a,4,BLACK,EVEN,2023-12-31 13:21:16.146366
n/a,35,BLACK,ODD,2023-12-31 13:21:16.408146
n/a,5,RED,ODD,2023-12-31 13:21:16.523738
n/a,28,BLACK,EVEN,2023-12-31 13:21:16.670895
n/a,17,BLACK,ODD,2023-12-31 13:21:16.932888
n/a,24,BLACK,EVEN,2023-12-31 13:21:17.053179
n/a,33,BLACK,ODD,2023-12-31 13:21:17.194981
n/a,31,BLACK,ODD,2023-12-31 13:21:17.314896
n/a,35,BLACK,ODD,2023-12-31 13:21:17.577180
n/a,35,BLACK,ODD,2023-12-31 13:21:17.692724
n/a,13,BLACK,ODD,2023-12-31 13:21:17.839382
n/a,22,BLACK,EVEN,2023-12-31 13:21:18.095384
n/a,36,RED,EVEN,2023-12-31 13:21:18.216677
n/a,17,BLACK,ODD,2023-12-31 13:21:18.363592
n/a,17,BLACK,ODD,2023-12-31 13:21:18.599710
n/a,10,BLACK,EVEN,2023-12-31 13:21:18.739890
n/a,28,BLACK,EVEN,2023-12-31 13:21:18.887262
n/a,27,RED,ODD,2023-12-31 13:21:19.122944
n/a,11,BLACK,ODD,2023-12-31 13:21:19.264952
n/a,18,RED,EVEN,2023-12-31 13:21:19.384800
n/a,14,RED,EVEN,2023-12-31 13:21:19.647138
n/a,17,BLACK,ODD,2023-12-31 13:21:19.788763
n/a,18,RED,EVEN,2023-12-31 13:21:19.908799
n/a,32,RED,EVEN,2023-12-31 13:21:20.170703
n/a,0,GREEN,EVEN,2023-12-31 13:21:20.313709
n/a,12,RED,EVEN,2023-12-31 13:21:20.460193
n/a,2,BLACK,EVEN,2023-12-31 13:21:20.721897
n/a,30,RED,EVEN,2023-12-31 13:21:20.866691
n/a,14,RED,EVEN,2023-12-31 13:21:21.010141
n/a,15,BLACK,ODD,2023-12-31 13:21:21.129731
n/a,2,BLACK,EVEN,2023-12-31 13:21:21.417922
n/a,5,RED,ODD,2023-12-31 13:21:21.534003
n/a,3,RED,ODD,2023-12-31 13:21:21.679891
n/a,1,RED,ODD,2024-01-01 21:48:03.695673
n/a,15,BLACK,ODD,2024-01-01 21:48:04.125254
n/a,32,RED,EVEN,2024-01-01 21:48:04.350514
n/a,1,RED,ODD,2024-01-01 21:48:04.521510
n/a,27,RED,ODD,2024-01-01 21:48:04.718232
n/a,13,BLACK,ODD,2024-01-01 21:48:04.890259
n/a,0,GREEN,EVEN,2024-01-01 21:48:05.088460
n/a,33,BLACK,ODD,2024-01-01 21:48:05.258692
n/a,19,RED,ODD,2024-01-01 21:48:05.430196
n/a,6,BLACK,EVEN,2024-01-01 21:48:05.625088
n/a,18,RED,EVEN,2024-01-01 21:48:06.184503
n/a,19,RED,ODD,2024-01-01 21:48:06.536634
n/a,22,BLACK,EVEN,2024-01-01 21:48:06.888702
n/a,26,BLACK,EVEN,2024-01-01 21:48:07.241680
n/a,4,BLACK,EVEN,2024-01-01 21:48:07.620200
n/a,4,BLACK,EVEN,2024-01-01 21:48:07.948545
n/a,26,BLACK,EVEN,2024-01-01 21:48:08.300531
n/a,7,RED,ODD,2024-01-01 21:48:08.601581
n/a,4,BLACK,EVEN,2024-01-01 21:48:08.928230
n/a,29,BLACK,ODD,2024-01-01 21:48:09.202714
n/a,11,BLACK,ODD,2024-01-01 21:48:09.504600
n/a,1,RED,ODD,2024-01-01 21:48:09.778831
n/a,0,GREEN,EVEN,2024-01-01 21:48:10.055755
n/a,14,RED,EVEN,2024-01-01 21:48:10.329275
n/a,4,BLACK,EVEN,2024-01-01 21:48:10.630196
n/a,21,RED,ODD,2024-01-01 21:48:10.905637
n/a,21,RED,ODD,2024-01-01 21:48:11.155077
n/a,17,BLACK,ODD,2024-01-01 21:48:11.408739
n/a,14,RED,EVEN,2024-01-01 21:48:11.631237
n/a,29,BLACK,ODD,2024-01-01 21:48:11.829687
n/a,1,RED,ODD,2024-01-01 21:48:11.975767
n/a,8,BLACK,EVEN,2024-01-01 21:48:12.172177
n/a,6,BLACK,EVEN,2024-01-01 21:48:12.343688
n/a,2,BLACK,EVEN,2024-01-01 21:48:12.511239
n/a,13,BLACK,ODD,2024-01-01 21:48:12.683787
n/a,6,BLACK,EVEN,2024-01-01 21:48:12.829233
n/a,21,RED,ODD,2024-01-01 21:48:13.002300
n/a,0,GREEN,EVEN,2024-01-01 21:48:13.147618
n/a,2,BLACK,EVEN,2024-01-01 21:48:13.294443
n/a,17,BLACK,ODD,2024-01-01 21:48:13.440665
n/a,6,BLACK,EVEN,2024-01-01 21:48:13.585863
n/a,0,GREEN,EVEN,2024-01-01 21:48:13.873010
n/a,20,BLACK,EVEN,2024-01-01 21:48:14.014976
n/a,9,RED,ODD,2024-01-01 21:48:51.383823
n/a,29,BLACK,ODD,2024-01-01 21:48:51.555579
n/a,20,BLACK,EVEN,2024-01-01 21:48:51.726181
n/a,27,RED,ODD,2024-01-01 21:48:51.868697
n/a,18,RED,EVEN,2024-01-01 21:48:52.040196
n/a,34,RED,EVEN,2024-01-01 21:48:52.186484
n/a,13,BLACK,ODD,2024-01-01 21:48:52.333641
n/a,35,BLACK,ODD,2024-01-01 21:48:52.595673
n/a,9,RED,ODD,2024-01-01 21:48:52.711706
n/a,24,BLACK,EVEN,2024-01-01 21:48:52.856280
n/a,23,RED,ODD,2024-01-01 21:48:53.118585
n/a,31,BLACK,ODD,2024-01-01 21:48:53.264679
n/a,27,RED,ODD,2024-01-01 21:48:53.380224
n/a,31,BLACK,ODD,2024-01-01 21:48:53.527160
n/a,15,BLACK,ODD,2024-01-01 21:48:54.462072
n/a,36,RED,EVEN,2024-01-01 21:48:54.658251
n/a,23,RED,ODD,2024-01-01 21:48:54.831279
n/a,28,BLACK,EVEN,2024-01-01 21:48:54.976467
n/a,13,BLACK,ODD,2024-01-01 21:48:55.122739
n/a,34,RED,EVEN,2024-01-01 21:48:55.295984
n/a,0,GREEN,EVEN,2024-01-01 21:48:55.440226
n/a,14,RED,EVEN,2024-01-01 21:48:55.586690
n/a,34,RED,EVEN,2024-01-01 21:48:55.759522
n/a,34,RED,EVEN,2024-01-01 21:48:55.900816
n/a,36,RED,EVEN,2024-01-01 21:48:56.072281
n/a,13,BLACK,ODD,2024-01-01 21:48:56.218802
n/a,28,BLACK,EVEN,2024-01-01 21:48:56.390262
n/a,9,RED,ODD,2024-01-01 21:48:56.562290
n/a,8,BLACK,EVEN,2024-01-01 21:48:56.708503
n/a,13,BLACK,ODD,2024-01-01 21:48:56.880397
n/a,2,BLACK,EVEN,2024-01-01 21:48:57.168815
n/a,16,RED,EVEN,2024-01-01 21:48:57.339659
n/a,1,RED,ODD,2024-01-01 21:48:57.482440
n/a,28,BLACK,EVEN,2024-01-01 21:48:57.653366
n/a,12,RED,EVEN,2024-01-01 21:48:57.799915
n/a,5,RED,ODD,2024-01-01 21:48:57.971562
n/a,12,RED,EVEN,2024-01-01 21:48:58.143726
n/a,6,BLACK,EVEN,2024-01-01 21:48:58.456640
n/a,0,GREEN,EVEN,2024-01-01 21:48:58.628722
n/a,26,BLACK,EVEN,2024-01-01 21:48:58.770272
n/a,35,BLACK,ODD,2024-01-01 21:48:58.944264
n/a,0,GREEN,EVEN,2024-01-01 21:48:59.114740
n/a,17,BLACK,ODD,2024-01-01 21:48:59.261507
n/a,18,RED,EVEN,2024-01-01 21:48:59.457220
n/a,27,RED,ODD,2024-01-01 21:48:59.603589
n/a,32,RED,EVEN,2024-01-01 21:48:59.775484
n/a,11,BLACK,ODD,2024-01-01 21:48:59.948915
n/a,7,RED,ODD,2024-01-01 21:49:00.118835
n/a,24,BLACK,EVEN,2024-01-01 21:49:00.432398
n/a,25,RED,ODD,2024-01-01 21:49:00.578532
n/a,35,BLACK,ODD,2024-01-01 21:49:00.749229
n/a,21,RED,ODD,2024-01-01 21:49:00.918173
n/a,15,BLACK,ODD,2024-01-01 21:49:01.063385
n/a,4,BLACK,EVEN,2024-01-01 21:49:01.260706
n/a,18,RED,EVEN,2024-01-01 21:49:01.432646
n/a,14,RED,EVEN,2024-01-01 21:49:01.604217
n/a,20,BLACK,EVEN,2024-01-01 21:49:01.776677
n/a,26,BLACK,EVEN,2024-01-01 21:49:01.948568
n/a,29,BLACK,ODD,2024-01-01 21:49:02.146470
n/a,30,RED,EVEN,2024-01-01 21:49:02.318322
n/a,31,BLACK,ODD,2024-01-01 21:49:02.657955
n/a,17,BLACK,ODD,2024-01-01 21:49:02.830373
n/a,35,BLACK,ODD,2024-01-01 21:49:02.975224
n/a,36,RED,EVEN,2024-01-01 21:49:03.173860
n/a,24,BLACK,EVEN,2024-01-01 21:49:03.345734
n/a,0,GREEN,EVEN,2024-01-01 21:49:03.516167
n/a,28,BLACK,EVEN,2024-01-01 21:49:03.688496
n/a,11,BLACK,ODD,2024-01-01 21:49:03.860290
n/a,23,RED,ODD,2024-01-01 21:49:04.002593
n/a,9,RED,ODD,2024-01-01 21:49:04.200247
n/a,16,RED,EVEN,2024-01-01 21:49:04.372058
n/a,4,BLACK,EVEN,2024-01-01 21:49:04.544302
n/a,1,RED,ODD,2024-01-01 21:49:04.715230
n/a,21,RED,ODD,2024-01-01 21:49:04.888225
n/a,10,BLACK,EVEN,2024-01-01 21:49:05.060493
